CPUID/StorageTemperature/6/Sensor 1:;CPUID/StorageBandwidth/6/Read Rate:;CPUID/ProcessorCoreClockFrequency/0/7:;GPUZ/GpuCoreClock/0/0:;GPUZ/GpuLoad/0/7:;CPUID/ProcessorCoreClockFrequency/0/0:;GPUZ/VgaFanSpeedRPM/0/6:;GPUZ/SystemMemoryUsed/0/14:;CPUID/StorageBandwidth/6/Write Rate:;CPUID/ProcessorCoreClockFrequency/0/6:;CPUID/StorageBandwidth/4/Read Rate:;CPUID/TickCount:;GPUZ/GpuMemoryClock/0/1:;GPUZ/DedicatedMemoryUsed/0/9:;CPUID/ProcessorCoreClockFrequency/0/1:;CPUID/AllProcessorsUtilization:;CPUID/StorageBandwidth/5/Write Rate:;CPUID/ProcessorCoreClockFrequency/0/5:;CPUID/MultimediaTime:;CPUID/ProcessorCoreTemperature/0/0:;CPUID/StorageBandwidth/4/Write Rate:;CPUID/StorageUtilization/4/Activity:;CPUID/ProcessorCoreClockFrequency/0/2:;CPUID/AllProcessorsUtility/-1:;CPUID/StorageUtilization/5/Activity:;CPUID/StorageTemperature/6/Assembly:;CPUID/StorageUtilization/6/Activity:;CPUID/ProcessorCoreClockFrequency/0/4:;GPUZ/GpuTemperature/0/2:;CPUID/StorageTemperature/5/Assembly:;CPUID/StorageTemperature/4/Assembly:;SetupAPI/Setting/Tessellation:;CPUID/StorageBandwidth/5/Read Rate:;GPUZ/VgaFanSpeedPercent/0/5:;CPUID/ProcessorCoreClockFrequency/0/3:;CPUID/QPFFrequency:;CPUID/QPFCounter:;BM/Events:E;BM/FramesPerSecond:E;BM/FramesPerSecondAvgPerLoop:;BM/RunTimeSeconds:E
35.000000;84.779020;5223.898700;1458.984000;53.966000;5223.898700;0.000000;16170.030000;0.000060;2611.949340;0.000000;44417668.876000;2505.000000;4192.580000;5223.898700;24.446440;33.120000;5223.898700;44417681.872000;68.883500;0.000000;0.000240;5223.898700;24.446440;5.835320;35.000000;18.577780;5223.898700;48.000000;42.000000;30.000000;0.000000;0.089180;0.000000;5223.898700;10000000.000000;444187345904.084000;;;;8.126000
35.000000;80.970000;5223.540000;1459.000000;54.000000;5223.540000;0.000000;16170.030000;0.000000;2611.770000;0.000000;44418609.000000;2505.000000;4653.230000;5223.540000;23.820000;35.930000;5223.540000;44418616.000000;67.380000;0.000000;0.040000;5223.540000;23.820000;8.050000;35.000000;16.970000;5223.540000;48.000000;42.000000;30.000000;-1.000000;0.570000;0.000000;5223.540000;10000000.000000;444196682455.000000;;;;9.126000
35.000000;10.450590;5223.689850;1459.000000;54.000000;5223.689850;0.000000;16170.030000;0.000000;5221.078080;0.000000;44419608.000000;2505.000000;4653.230000;5223.689850;23.410410;17.728220;5223.689850;44419615.999000;66.001380;0.000000;0.000040;5223.689850;23.410410;6.101950;35.000000;2.764220;5223.689850;48.000000;42.000000;30.000000;-1.000000;1.628940;0.000000;5223.689850;10000000.000000;444206675036.416000;;;;10.126000
35.000000;2.306180;5185.436660;152.618000;11.086000;5185.436660;0.000000;16466.825220;0.029940;5185.436660;0.000000;44421028.156000;2505.000000;4935.763800;5185.436660;23.429960;22.031340;5185.436660;44421037.154000;66.628740;0.000000;0.069860;5185.436660;23.429960;5.052100;35.000000;0.923660;5185.436660;48.000000;42.000000;30.000000;-1.000000;0.342580;0.000000;5185.436660;10000000.000000;444220890127.888000;;;;11.126000
35.000000;0.000000;5185.360000;150.000000;11.000000;5185.360000;0.000000;16467.420000;0.000000;5185.360000;0.000000;44421625.000000;2505.000000;4936.330000;5185.360000;24.750000;57.400000;5185.360000;44421630.000000;66.630000;0.000000;0.000000;5185.360000;24.750000;5.850000;35.000000;0.000000;5185.360000;48.000000;43.000000;32.000000;-1.000000;2.310000;0.000000;5185.360000;10000000.000000;444226809824.000000;;;;12.126000
35.000000;0.459540;2614.523410;150.000000;11.000000;5223.861460;0.000000;16467.420000;0.000000;5223.861460;0.000000;44422716.907000;2505.000000;4936.330000;5223.861460;23.461290;36.401020;5223.861460;44422724.904000;69.627000;0.000000;0.000000;5223.861460;23.461290;9.436410;35.000000;1.038960;5223.861460;48.000000;43.000000;32.000000;-1.000000;13.129170;0.000000;5223.861460;10000000.000000;444237768506.347960;;;;13.126000
35.000000;1.588870;5220.708630;70.080000;7.004000;5223.320580;0.000000;16467.420000;0.000000;2614.272240;0.000000;44423608.109000;2505.000000;4936.330000;5223.320580;25.897560;35.071310;5223.320580;44423616.109000;70.629000;0.000000;0.000000;5223.320580;25.897560;16.492940;35.000000;1.079960;5223.320580;48.000000;43.000000;32.000000;-1.000000;17.695440;0.000000;5223.320580;10000000.000000;444246677784.784000;;;;14.126000
35.000000;5.516070;5223.809510;70.000000;7.000000;5223.809510;0.000000;16153.084650;0.000000;2611.909750;0.000000;44424608.000000;2505.000000;5129.037100;5223.809510;22.013890;30.144930;5223.809510;44424617.998000;70.630000;0.000000;0.069930;5223.809510;22.013890;50.585880;35.000000;1.419660;5223.809510;48.000000;43.000000;32.000000;-1.000000;9.538170;0.000000;5223.809510;10000000.000000;444256699692.976000;;;;15.126000
35.000000;0.195330;5224.279530;150.919000;10.996000;5224.279530;0.000000;16152.770000;0.000000;5221.667630;0.039960;44425608.000000;2505.000000;5129.230000;5224.279530;31.280720;43.256870;5224.279530;44425618.000000;70.749880;0.000000;0.639430;5224.279530;31.280720;67.942660;35.000000;0.381040;5224.279530;48.000000;43.000000;32.000000;-1.000000;6.203330;0.000000;5224.279530;10000000.000000;444266693070.652040;;;;16.126000
35.000000;0.000000;5224.850000;151.000000;11.000000;5224.850000;0.000000;16619.940000;0.000000;5224.850000;0.000000;44426656.000000;2505.000000;5204.780000;5224.850000;34.630000;16.060000;5224.850000;44426665.000000;71.380000;0.000000;0.000000;5224.850000;34.630000;30.580000;35.000000;0.000000;5224.850000;48.000000;43.000000;32.000000;-1.000000;24.290000;0.000000;5224.850000;10000000.000000;444277177217.000000;;;;17.126000
35.000000;7.520000;2611.890000;102.000000;9.000000;5223.770000;0.000000;16619.940000;0.000000;2611.890000;0.000000;44427671.000000;2505.000000;5204.780000;5223.770000;30.380000;13.940000;2611.890000;44427680.000000;72.000000;0.000000;0.130000;5223.770000;30.380000;18.660000;35.000000;1.310000;2611.890000;48.000000;43.000000;32.000000;0.000000;5.620000;0.000000;5223.770000;10000000.000000;444287321618.000000;;;;18.126000
35.000000;0.067460;5220.428850;102.000000;9.000000;5223.040730;0.000000;16619.940000;0.000000;5220.428850;0.000000;44428608.062000;2505.000000;5204.780000;5223.040730;26.903480;28.285640;5220.428850;44428618.061000;70.251750;0.000000;0.000130;5223.040730;26.903480;52.496130;35.000000;0.051260;5220.428850;48.000000;43.000000;32.000000;-1.000000;2.972650;0.000000;5223.040730;10000000.000000;444296696349.884000;;66.404654;63.757028;19.126000
35.000000;0.000060;5224.188850;102.000000;9.000000;5224.188850;0.000000;16619.940000;0.000000;5224.188850;0.000000;44429623.984000;2505.000000;5204.780000;5224.188850;27.359540;10.817500;5224.188850;44429626.991000;69.131120;0.000000;0.029970;5224.188850;27.359540;15.487080;35.000000;0.000050;5224.188850;48.000000;43.000000;32.000000;-1.000000;2.820150;0.000000;5224.188850;10000000.000000;444306785023.621030;;65.426788;63.757028;20.126000
35.000000;0.000000;5223.440000;2551.000000;100.000000;5223.440000;619.000000;16127.720000;0.000000;5223.440000;0.000000;44430625.000000;2505.000000;8045.110000;5223.440000;33.240000;1.350000;5223.440000;44430631.000000;67.750000;0.000000;0.000000;5223.440000;33.240000;3.330000;35.000000;0.000000;5223.440000;51.000000;43.000000;32.000000;-1.000000;1.460000;20.000000;5223.440000;10000000.000000;444316826198.000000;;66.035996;63.757028;21.126000
35.000000;0.000000;2614.411640;2551.000000;100.000000;5223.609830;619.000000;16127.720000;0.000000;2614.411640;0.000000;44431608.016000;2505.000000;8045.110000;5223.609830;30.662580;10.171170;2614.411640;44431617.013000;66.751000;0.000000;0.129870;5223.609830;30.662580;17.236080;35.000000;0.119880;5223.609830;51.000000;37.006000;32.000000;-1.000000;0.251210;20.000000;5223.609830;10000000.000000;444326692661.660030;;66.981101;63.757028;22.126000
35.000000;0.000000;2612.279520;2576.974000;100.000000;5224.559050;942.676000;16100.786960;0.000000;2612.279520;0.000000;44432623.984000;2505.000000;8052.222880;5224.559050;28.152510;7.782400;2612.279520;44432622.994000;66.250500;0.000000;0.000130;5224.559050;28.152510;13.114140;35.000000;0.000120;5224.559050;51.999000;37.000000;32.000000;-1.000000;0.000250;20.000000;5224.559050;10000000.000000;444336744838.647000;;65.776705;63.757028;23.126000
35.000000;0.000000;2611.620660;2577.000000;100.000000;5223.241320;943.000000;16100.760000;0.000000;5220.629040;0.000000;44433654.969000;2505.000000;8052.230000;5223.241320;22.485670;10.197580;5220.629040;44433665.957000;64.881370;0.000000;0.049950;5223.241320;22.485670;7.096020;35.000000;0.129870;2614.232940;52.000000;37.000000;32.000000;-1.000000;0.119880;20.000000;2614.232940;10000000.000000;444347174768.692000;;65.527064;63.757028;24.126000
35.000000;0.000000;5221.247760;2569.008000;100.000000;5223.859380;1030.912000;16102.568190;0.000000;5223.859380;0.000000;44434624.031000;2505.000000;8052.230000;5223.859380;24.527950;0.210000;2614.541310;44434622.044000;63.631250;0.000000;0.000050;5223.859380;24.527950;2.524570;35.000000;0.000130;5221.247760;52.000000;37.000000;32.000000;-1.000000;1.099020;20.999000;5221.247760;10000000.000000;444356746186.441960;;65.306865;63.757028;25.126000
35.000000;0.000000;5224.229630;2569.000000;100.000000;5224.229630;1031.000000;16102.570000;0.000000;5224.229630;0.000000;44435608.016000;2505.000000;8052.230000;5224.229630;24.879650;10.239950;5221.617700;44435614.008000;62.750880;0.000000;0.009990;5224.229630;24.879650;15.516990;35.000000;0.000000;5224.229630;52.000000;37.000000;32.000000;-1.000000;0.140960;21.000000;2614.731740;10000000.000000;444366666692.144040;;64.360839;63.757028;26.126000
35.000000;0.000000;5223.940580;2569.000000;100.000000;5223.940580;1031.000000;16102.570000;0.000000;5223.940580;0.000000;44436607.000000;2505.000000;8052.230000;5223.940580;22.594580;6.766980;5223.940580;44436614.996000;61.881740;0.000000;0.000020;5223.940580;22.594580;5.170760;35.000000;0.069860;5223.940580;52.000000;37.000000;32.000000;-1.000000;0.030220;21.000000;5218.716360;10000000.000000;444376666080.028000;;62.188177;63.757028;27.126000
